"","date","value"
"1",1980-01-01,6.62
"2",1980-02-01,4.62
"3",1980-03-01,6.04
"4",1980-04-01,5.29
"5",1980-05-01,5.7
"6",1980-06-01,5.31
"7",1980-07-01,5.55
"8",1980-08-01,4.95
"9",1980-09-01,4.23
"10",1980-10-01,9.48
"11",1980-11-01,6.67
"12",1980-12-01,6.61
"13",1981-01-01,6.84
"14",1981-02-01,6.4
"15",1981-03-01,4.97
"16",1981-04-01,6.46
"17",1981-05-01,5.56
"18",1981-06-01,5.52
"19",1981-07-01,6.26
"20",1981-08-01,5.5
"21",1981-09-01,5.26
"22",1981-10-01,5.08
"23",1981-11-01,5.27
"24",1981-12-01,5.93
"25",1982-01-01,6.97
"26",1982-02-01,6.64
"27",1982-03-01,5.71
"28",1982-04-01,5.89
"29",1982-05-01,6.66
"30",1982-06-01,7.1
"31",1982-07-01,6.36
"32",1982-08-01,5.97
"33",1982-09-01,5.08
"34",1982-10-01,4.44
"35",1982-11-01,5.29
"36",1982-12-01,7.81
"37",1983-01-01,8.64
"38",1983-02-01,7.86
"39",1983-03-01,7.34
"40",1983-04-01,6.58
"41",1983-05-01,6.48
"42",1983-06-01,9.88
"43",1983-07-01,10.08
"44",1983-08-01,9.11
"45",1983-09-01,10.3
"46",1983-10-01,8.87
"47",1983-11-01,7.38
"48",1983-12-01,8.68
"49",1984-01-01,9.67
"50",1984-02-01,9.5
"51",1984-03-01,8.94
"52",1984-04-01,9.54
"53",1984-05-01,9.05
"54",1984-06-01,10.08
"55",1984-07-01,9.72
"56",1984-08-01,9.35
"57",1984-09-01,11.75
"58",1984-10-01,10.44
"59",1984-11-01,10.53
"60",1984-12-01,11.98
"61",1985-01-01,11.76
"62",1985-02-01,10.87
"63",1985-03-01,10.16
"64",1985-04-01,8.2
"65",1985-05-01,7.2
"66",1985-06-01,8.49
"67",1985-07-01,10.31
"68",1985-08-01,12.05
"69",1985-09-01,11.12
"70",1985-10-01,10.62
"71",1985-11-01,13.97
"72",1985-12-01,15.07
"73",1986-01-01,14.37
"74",1986-02-01,12.72
"75",1986-03-01,4.77
"76",1986-04-01,0.78
"77",1986-05-01,1.4
"78",1986-06-01,1.27
"79",1986-07-01,1.71
"80",1986-08-01,3.55
"81",1986-09-01,1.72
"82",1986-10-01,1.9
"83",1986-11-01,5.45
"84",1986-12-01,11.65
"85",1987-01-01,13.21
"86",1987-02-01,12.64
"87",1987-03-01,16.37
"88",1987-04-01,19.1
"89",1987-05-01,21.45
"90",1987-06-01,19.71
"91",1987-07-01,9.21
"92",1987-08-01,4.87
"93",1987-09-01,7.78
"94",1987-10-01,11.22
"95",1987-11-01,15.08
"96",1987-12-01,14.15
"97",1988-01-01,18.89
"98",1988-02-01,15.7
"99",1988-03-01,17.6
"100",1988-04-01,19.29
"101",1988-05-01,17.42
"102",1988-06-01,22
"103",1988-07-01,21.91
"104",1988-08-01,21.59
"105",1988-09-01,27.45
"106",1988-10-01,25.62
"107",1988-11-01,27.94
"108",1988-12-01,28.7
"109",1989-01-01,37.49
"110",1989-02-01,16.78
"111",1989-03-01,6.82
"112",1989-04-01,8.33
"113",1989-05-01,17.92
"114",1989-06-01,28.65
"115",1989-07-01,27.74
"116",1989-08-01,33.71
"117",1989-09-01,37.56
"118",1989-10-01,39.77
"119",1989-11-01,47.82
"120",1989-12-01,51.5
"121",1990-01-01,67.55
"122",1990-02-01,75.73
"123",1990-03-01,82.39
"124",1990-04-01,15.52
"125",1990-05-01,7.59
"126",1990-06-01,11.75
"127",1990-07-01,12.92
"128",1990-08-01,12.88
"129",1990-09-01,14.41
"130",1990-10-01,14.36
"131",1990-11-01,16.81
"132",1990-12-01,18.44
"133",1991-01-01,20.75
"134",1991-02-01,20.72
"135",1991-03-01,11.92
"136",1991-04-01,4.99
"137",1991-05-01,7.43
"138",1991-06-01,11.19
"139",1991-07-01,12.41
"140",1991-08-01,15.63
"141",1991-09-01,15.63
"142",1991-10-01,20.23
"143",1991-11-01,25.21
"144",1991-12-01,23.71
"145",1992-01-01,25.94
"146",1992-02-01,24.32
"147",1992-03-01,21.4
"148",1992-04-01,19.93
"149",1992-05-01,24.86
"150",1992-06-01,20.21
"151",1992-07-01,21.83
"152",1992-08-01,22.14
"153",1992-09-01,24.63
"154",1992-10-01,25.24
"155",1992-11-01,22.49
"156",1992-12-01,25.24
"157",1993-01-01,30.35
"158",1993-02-01,24.98
"159",1993-03-01,27.26
"160",1993-04-01,27.75
"161",1993-05-01,27.69
"162",1993-06-01,30.07
"163",1993-07-01,30.72
"164",1993-08-01,32.96
"165",1993-09-01,35.69
"166",1993-10-01,33.92
"167",1993-11-01,35.56
"168",1993-12-01,36.84
"169",1994-01-01,41.31
"170",1994-02-01,40.27
"171",1994-03-01,42.75
"172",1994-04-01,42.68
"173",1994-05-01,44.03
"174",1994-06-01,47.43
"175",1994-07-01,6.84
"176",1994-08-01,1.86
"177",1994-09-01,1.53
"178",1994-10-01,2.62
"179",1994-11-01,2.81
"180",1994-12-01,1.71
"181",1995-01-01,1.7
"182",1995-02-01,1.02
"183",1995-03-01,1.55
"184",1995-04-01,2.43
"185",1995-05-01,2.67
"186",1995-06-01,2.26
"187",1995-07-01,2.36
"188",1995-08-01,0.99
"189",1995-09-01,0.99
"190",1995-10-01,1.41
"191",1995-11-01,1.47
"192",1995-12-01,1.56
"193",1996-01-01,1.34
"194",1996-02-01,1.03
"195",1996-03-01,0.35
"196",1996-04-01,1.26
"197",1996-05-01,1.22
"198",1996-06-01,1.19
"199",1996-07-01,1.11
"200",1996-08-01,0.44
"201",1996-09-01,0.15
"202",1996-10-01,0.3
"203",1996-11-01,0.32
"204",1996-12-01,0.47
"205",1997-01-01,1.18
"206",1997-02-01,0.5
"207",1997-03-01,0.51
"208",1997-04-01,0.88
"209",1997-05-01,0.41
"210",1997-06-01,0.54
"211",1997-07-01,0.22
"212",1997-08-01,-0.02
"213",1997-09-01,0.06
"214",1997-10-01,0.23
"215",1997-11-01,0.17
"216",1997-12-01,0.43
"217",1998-01-01,0.71
"218",1998-02-01,0.46
"219",1998-03-01,0.34
"220",1998-04-01,0.24
"221",1998-05-01,0.5
"222",1998-06-01,0.02
"223",1998-07-01,-0.12
"224",1998-08-01,-0.51
"225",1998-09-01,-0.22
"226",1998-10-01,0.02
"227",1998-11-01,-0.12
"228",1998-12-01,0.33
"229",1999-01-01,0.7
"230",1999-02-01,1.05
"231",1999-03-01,1.1
"232",1999-04-01,0.56
"233",1999-05-01,0.3
"234",1999-06-01,0.19
"235",1999-07-01,1.09
"236",1999-08-01,0.56
"237",1999-09-01,0.31
"238",1999-10-01,1.19
"239",1999-11-01,0.95
"240",1999-12-01,0.6
"241",2000-01-01,0.62
"242",2000-02-01,0.13
"243",2000-03-01,0.22
"244",2000-04-01,0.42
"245",2000-05-01,0.01
"246",2000-06-01,0.23
"247",2000-07-01,1.61
"248",2000-08-01,1.31
"249",2000-09-01,0.23
"250",2000-10-01,0.14
"251",2000-11-01,0.32
"252",2000-12-01,0.59
"253",2001-01-01,0.57
"254",2001-02-01,0.46
"255",2001-03-01,0.38
"256",2001-04-01,0.58
"257",2001-05-01,0.41
"258",2001-06-01,0.52
"259",2001-07-01,1.33
"260",2001-08-01,0.7
"261",2001-09-01,0.28
"262",2001-10-01,0.83
"263",2001-11-01,0.71
"264",2001-12-01,0.65
"265",2002-01-01,0.52
"266",2002-02-01,0.36
"267",2002-03-01,0.6
"268",2002-04-01,0.8
"269",2002-05-01,0.21
"270",2002-06-01,0.42
"271",2002-07-01,1.19
"272",2002-08-01,0.65
"273",2002-09-01,0.72
"274",2002-10-01,1.31
"275",2002-11-01,3.02
"276",2002-12-01,2.1
"277",2003-01-01,2.25
"278",2003-02-01,1.57
"279",2003-03-01,1.23
"280",2003-04-01,0.97
"281",2003-05-01,0.61
"282",2003-06-01,-0.15
"283",2003-07-01,0.2
"284",2003-08-01,0.34
"285",2003-09-01,0.78
"286",2003-10-01,0.29
"287",2003-11-01,0.34
"288",2003-12-01,0.52
"289",2004-01-01,0.76
"290",2004-02-01,0.61
"291",2004-03-01,0.47
"292",2004-04-01,0.37
"293",2004-05-01,0.51
"294",2004-06-01,0.71
"295",2004-07-01,0.91
"296",2004-08-01,0.69
"297",2004-09-01,0.33
"298",2004-10-01,0.44
"299",2004-11-01,0.69
"300",2004-12-01,0.86
"301",2005-01-01,0.58
"302",2005-02-01,0.59
"303",2005-03-01,0.61
"304",2005-04-01,0.87
"305",2005-05-01,0.49
"306",2005-06-01,-0.02
"307",2005-07-01,0.25
"308",2005-08-01,0.17
"309",2005-09-01,0.35
"310",2005-10-01,0.75
"311",2005-11-01,0.55
"312",2005-12-01,0.36
"313",2006-01-01,0.59
"314",2006-02-01,0.41
"315",2006-03-01,0.43
"316",2006-04-01,0.21
"317",2006-05-01,0.1
"318",2006-06-01,-0.21
"319",2006-07-01,0.19
"320",2006-08-01,0.05
