"","date","value"
"1",1986-06-01,1.27
"2",1986-07-01,1.95
"3",1986-08-01,2.57
"4",1986-09-01,2.94
"5",1986-10-01,1.96
"6",1986-11-01,2.37
"7",1986-12-01,5.47
"8",1987-01-01,11
"9",1987-02-01,19.61
"10",1987-03-01,11.95
"11",1987-04-01,15.3
"12",1987-05-01,24.63
"13",1987-06-01,18.02
"14",1987-07-01,8.91
"15",1987-08-01,8.09
"16",1987-09-01,7.99
"17",1987-10-01,9.45
"18",1987-11-01,12.92
"19",1987-12-01,14.38
"20",1988-01-01,16.78
"21",1988-02-01,18.35
"22",1988-03-01,16.59
"23",1988-04-01,20.25
"24",1988-05-01,18.65
"25",1988-06-01,20.17
"26",1988-07-01,24.69
"27",1988-08-01,22.63
"28",1988-09-01,26.25
"29",1988-10-01,29.79
"30",1988-11-01,28.41
"31",1988-12-01,30.24
"32",1989-01-01,22.97
"33",1989-02-01,18.95
"34",1989-03-01,20.41
"35",1989-04-01,11.52
"36",1989-05-01,11.43
"37",1989-06-01,27.29
"38",1989-07-01,33.15
"39",1989-08-01,35.49
"40",1989-09-01,38.58
"41",1989-10-01,47.7
"42",1989-11-01,48.41
"43",1989-12-01,64.21
"44",1990-01-01,67.6
"45",1990-02-01,82.04
"46",1990-03-01,36.76
"47",1990-04-01,4.23
"48",1990-05-01,5.69
"49",1990-06-01,8.73
"50",1990-07-01,13.79
"51",1990-08-01,11.53
"52",1990-09-01,15.21
"53",1990-10-01,16.49
"54",1990-11-01,19.83
"55",1990-12-01,22.86
"56",1991-01-01,21.02
"57",1991-02-01,6.85
"58",1991-03-01,8.99
"59",1991-04-01,9.67
"60",1991-05-01,9.56
"61",1991-06-01,10.32
"62",1991-07-01,12.39
"63",1991-08-01,15.75
"64",1991-09-01,19.78
"65",1991-10-01,25.95
"66",1991-11-01,32.43
"67",1991-12-01,31.17
"68",1992-01-01,29.06
"69",1992-02-01,28.76
"70",1992-03-01,26.86
"71",1992-04-01,23.92
"72",1992-05-01,23
"73",1992-06-01,24.28
"74",1992-07-01,26.21
"75",1992-08-01,25.65
"76",1992-09-01,27.66
"77",1992-10-01,28.18
"78",1992-11-01,26.4
"79",1992-12-01,25.92
"80",1993-01-01,28.52
"81",1993-02-01,28.9
"82",1993-03-01,28.36
"83",1993-04-01,30.53
"84",1993-05-01,30.9
"85",1993-06-01,31.91
"86",1993-07-01,32.73
"87",1993-08-01,34.64
"88",1993-09-01,37.23
"89",1993-10-01,38.4
"90",1993-11-01,38.38
"91",1993-12-01,40.38
"92",1994-01-01,42.76
"93",1994-02-01,41.99
"94",1994-03-01,46.42
"95",1994-04-01,46.49
"96",1994-05-01,47.95
"97",1994-06-01,50.62
"98",1994-07-01,6.87
"99",1994-08-01,4.17
"100",1994-09-01,3.83
"101",1994-10-01,3.62
"102",1994-11-01,4.07
"103",1994-12-01,3.8
"104",1995-01-01,3.37
"105",1995-02-01,3.25
"106",1995-03-01,4.26
"107",1995-04-01,4.26
"108",1995-05-01,4.25
"109",1995-06-01,4.04
"110",1995-07-01,4.02
"111",1995-08-01,3.84
"112",1995-09-01,3.32
"113",1995-10-01,3.09
"114",1995-11-01,2.88
"115",1995-12-01,2.78
"116",1996-01-01,2.58
"117",1996-02-01,2.35
"118",1996-03-01,2.22
"119",1996-04-01,2.07
"120",1996-05-01,2.01
"121",1996-06-01,1.98
"122",1996-07-01,1.93
"123",1996-08-01,1.97
"124",1996-09-01,1.9
"125",1996-10-01,1.86
"126",1996-11-01,1.8
"127",1996-12-01,1.8
"128",1997-01-01,1.73
"129",1997-02-01,1.67
"130",1997-03-01,1.64
"131",1997-04-01,1.66
"132",1997-05-01,1.58
"133",1997-06-01,1.61
"134",1997-07-01,1.6
"135",1997-08-01,1.59
"136",1997-09-01,1.59
"137",1997-10-01,1.67
"138",1997-11-01,3.04
"139",1997-12-01,2.97
"140",1998-01-01,2.67
"141",1998-02-01,2.13
"142",1998-03-01,2.2
"143",1998-04-01,1.71
"144",1998-05-01,1.63
"145",1998-06-01,1.6
"146",1998-07-01,1.7
"147",1998-08-01,1.48
"148",1998-09-01,2.49
"149",1998-10-01,2.94
"150",1998-11-01,2.63
"151",1998-12-01,2.4
"152",1999-01-01,2.18
"153",1999-02-01,2.38
"154",1999-03-01,3.33
"155",1999-04-01,2.35
"156",1999-05-01,2.02
"157",1999-06-01,1.67
"158",1999-07-01,1.66
"159",1999-08-01,1.57
"160",1999-09-01,1.49
"161",1999-10-01,1.38
"162",1999-11-01,1.39
"163",1999-12-01,1.6
"164",2000-01-01,1.46
"165",2000-02-01,1.45
"166",2000-03-01,1.45
"167",2000-04-01,1.3
"168",2000-05-01,1.49
"169",2000-06-01,1.39
"170",2000-07-01,1.31
"171",2000-08-01,1.41
"172",2000-09-01,1.22
"173",2000-10-01,1.29
"174",2000-11-01,1.22
"175",2000-12-01,1.2
"176",2001-01-01,1.27
"177",2001-02-01,1.02
"178",2001-03-01,1.26
"179",2001-04-01,1.19
"180",2001-05-01,1.34
"181",2001-06-01,1.27
"182",2001-07-01,1.5
"183",2001-08-01,1.6
"184",2001-09-01,1.32
"185",2001-10-01,1.53
"186",2001-11-01,1.39
"187",2001-12-01,1.39
"188",2002-01-01,1.53
"189",2002-02-01,1.25
"190",2002-03-01,1.37
"191",2002-04-01,1.48
"192",2002-05-01,1.41
"193",2002-06-01,1.33
"194",2002-07-01,1.54
"195",2002-08-01,1.44
"196",2002-09-01,1.38
"197",2002-10-01,1.65
"198",2002-11-01,1.54
"199",2002-12-01,1.74
"200",2003-01-01,1.97
"201",2003-02-01,1.83
"202",2003-03-01,1.78
"203",2003-04-01,1.87
"204",2003-05-01,1.97
"205",2003-06-01,1.86
"206",2003-07-01,2.08
"207",2003-08-01,1.77
"208",2003-09-01,1.68
"209",2003-10-01,1.64
"210",2003-11-01,1.34
"211",2003-12-01,1.37
"212",2004-01-01,1.27
"213",2004-02-01,1.08
"214",2004-03-01,1.38
"215",2004-04-01,1.18
"216",2004-05-01,1.23
"217",2004-06-01,1.23
"218",2004-07-01,1.29
"219",2004-08-01,1.29
"220",2004-09-01,1.25
"221",2004-10-01,1.21
"222",2004-11-01,1.25
"223",2004-12-01,1.48
"224",2005-01-01,1.38
"225",2005-02-01,1.22
"226",2005-03-01,1.53
"227",2005-04-01,1.41
"228",2005-05-01,1.5
"229",2005-06-01,1.59
"230",2005-07-01,1.51
"231",2005-08-01,1.66
"232",2005-09-01,1.5
"233",2005-10-01,1.41
"234",2005-11-01,1.38
"235",2005-12-01,1.47
"236",2006-01-01,1.43
"237",2006-02-01,1.15
"238",2006-03-01,1.42
"239",2006-04-01,1.08
"240",2006-05-01,1.28
"241",2006-06-01,1.18
"242",2006-07-01,1.17
"243",2006-08-01,1.26
"244",2006-09-01,1.06
"245",2006-10-01,1.09
"246",2006-11-01,1.02
"247",2006-12-01,0.99
"248",2007-01-01,1.08
"249",2007-02-01,0.87
"250",2007-03-01,1.05
"251",2007-04-01,0.94
"252",2007-05-01,1.03
"253",2007-06-01,0.91
"254",2007-07-01,0.97
"255",2007-08-01,0.99
"256",2007-09-01,0.8
"257",2007-10-01,0.93
"258",2007-11-01,0.84
"259",2007-12-01,0.84
"260",2008-01-01,0.93
"261",2008-02-01,0.8
"262",2008-03-01,0.84
"263",2008-04-01,0.9
"264",2008-05-01,0.88
"265",2008-06-01,0.96
"266",2008-07-01,1.07
"267",2008-08-01,1.02
"268",2008-09-01,1.1
"269",2008-10-01,1.18
"270",2008-11-01,1.02
"271",2008-12-01,1.12
"272",2009-01-01,1.05
"273",2009-02-01,0.86
"274",2009-03-01,0.97
"275",2009-04-01,0.84
"276",2009-05-01,0.77
"277",2009-06-01,0.76
"278",2009-07-01,0.79
"279",2009-08-01,0.69
"280",2009-09-01,0.69
"281",2009-10-01,0.69
"282",2009-11-01,0.66
"283",2009-12-01,0.73
"284",2010-01-01,0.66
"285",2010-02-01,0.59
"286",2010-03-01,0.76
"287",2010-04-01,0.67
"288",2010-05-01,0.75
"289",2010-06-01,0.79
"290",2010-07-01,0.86
"291",2010-08-01,0.89
"292",2010-09-01,0.85
"293",2010-10-01,0.81
"294",2010-11-01,0.81
"295",2010-12-01,0.93
"296",2011-01-01,0.86
"297",2011-02-01,0.84
"298",2011-03-01,0.92
"299",2011-04-01,0.84
"300",2011-05-01,0.99
"301",2011-06-01,0.96
"302",2011-07-01,0.97
"303",2011-08-01,1.07
"304",2011-09-01,0.94
"305",2011-10-01,0.88
"306",2011-11-01,0.86
"307",2011-12-01,0.91
"308",2012-01-01,0.89
"309",2012-02-01,0.75
"310",2012-03-01,0.82
"311",2012-04-01,0.71
"312",2012-05-01,0.74
"313",2012-06-01,0.64
"314",2012-07-01,0.68
"315",2012-08-01,0.69
"316",2012-09-01,0.54
"317",2012-10-01,0.61
"318",2012-11-01,0.55
"319",2012-12-01,0.55
"320",2013-01-01,0.6
"321",2013-02-01,0.49
"322",2013-03-01,0.55
"323",2013-04-01,0.61
"324",2013-05-01,0.6
"325",2013-06-01,0.61
"326",2013-07-01,0.72
"327",2013-08-01,0.71
"328",2013-09-01,0.71
"329",2013-10-01,0.81
"330",2013-11-01,0.72
"331",2013-12-01,0.79
"332",2014-01-01,0.85
"333",2014-02-01,0.79
"334",2014-03-01,0.77
"335",2014-04-01,0.82
"336",2014-05-01,0.87
"337",2014-06-01,0.82
"338",2014-07-01,0.95
"339",2014-08-01,0.87
"340",2014-09-01,0.91
"341",2014-10-01,0.95
"342",2014-11-01,0.84
"343",2014-12-01,0.96
"344",2015-01-01,0.94
"345",2015-02-01,0.82
"346",2015-03-01,1.04
"347",2015-04-01,0.95
"348",2015-05-01,0.99
"349",2015-06-01,1.07
"350",2015-07-01,1.18
"351",2015-08-01,1.11
"352",2015-09-01,1.11
"353",2015-10-01,1.11
"354",2015-11-01,1.06
"355",2015-12-01,1.16
"356",2016-01-01,1.06
"357",2016-02-01,1
"358",2016-03-01,1.16
"359",2016-04-01,1.06
"360",2016-05-01,1.11
"361",2016-06-01,1.16
"362",2016-07-01,1.11
"363",2016-08-01,1.22
"364",2016-09-01,1.11
"365",2016-10-01,1.05
"366",2016-11-01,1.04
"367",2016-12-01,1.12
"368",2017-01-01,1.09
"369",2017-02-01,0.87
"370",2017-03-01,1.05
"371",2017-04-01,0.79
"372",2017-05-01,0.93
"373",2017-06-01,0.81
"374",2017-07-01,0.8
"375",2017-08-01,0.8
"376",2017-09-01,0.64
"377",2017-10-01,0.64
"378",2017-11-01,0.57
"379",2017-12-01,0.54
"380",2018-01-01,0.58
"381",2018-02-01,0.47
"382",2018-03-01,0.53
"383",2018-04-01,0.52
"384",2018-05-01,0.52
"385",2018-06-01,0.52
