"","date","value"
"1",1980-01-01,43.643
"2",1980-02-01,44.862
"3",1980-03-01,46.516
"4",1980-04-01,48.324
"5",1980-05-01,49.79
"6",1980-06-01,51.362
"7",1980-07-01,52.847
"8",1980-08-01,54.645
"9",1980-09-01,56.608
"10",1980-10-01,58.783
"11",1980-11-01,61.321
"12",1980-12-01,63.871
"13",1981-01-01,67.521
"14",1981-02-01,70.511
"15",1981-03-01,74.372
"16",1981-04-01,78.963
"17",1981-05-01,84.04
"18",1981-06-01,88.673
"19",1981-07-01,93.96
"20",1981-08-01,99.921
"21",1981-09-01,105.284
"22",1981-10-01,111.467
"23",1981-11-01,117.955
"24",1981-12-01,124.831
"25",1982-01-01,131.21
"26",1982-02-01,137.48
"27",1982-03-01,144.917
"28",1982-04-01,152.228
"29",1982-05-01,159.98
"30",1982-06-01,168.335
"31",1982-07-01,177.755
"32",1982-08-01,189.106
"33",1982-09-01,202.088
"34",1982-10-01,215.69
"35",1982-11-01,229.956
"36",1982-12-01,245.426
"37",1983-01-01,263.196
"38",1983-02-01,315.536
"39",1983-03-01,400.56
"40",1983-04-01,435.263
"41",1983-05-01,474.632
"42",1983-06-01,517.778
"43",1983-07-01,570.364
"44",1983-08-01,643.34
"45",1983-09-01,701.381
"46",1983-10-01,785.3
"47",1983-11-01,871.05
"48",1983-12-01,946.136
"49",1984-01-01,1021.045
"50",1984-02-01,1130.762
"51",1984-03-01,1270.2
"52",1984-04-01,1387.789
"53",1984-05-01,1510.727
"54",1984-06-01,1644.75
"55",1984-07-01,1816
"56",1984-08-01,1994.304
"57",1984-09-01,2203.947
"58",1984-10-01,2453.773
"59",1984-11-01,2734.5
"60",1984-12-01,3008.55
"61",1985-01-01,3363.818
"62",1985-02-01,3764.111
"63",1985-03-01,4160.381
"64",1985-04-01,4717.895
"65",1985-05-01,5236.364
"66",1985-06-01,5742.105
"67",1985-07-01,6220
"68",1985-08-01,6711.364
"69",1985-09-01,7461.667
"70",1985-10-01,8186.522
"71",1985-11-01,8928.5
"72",1985-12-01,9912
"73",1986-01-01,11310
"74",1986-02-01,13029
"75",1986-03-01,13.84
"76",1986-04-01,13.84
"77",1986-05-01,13.84
"78",1986-06-01,13.84
"79",1986-07-01,13.84
"80",1986-08-01,13.84
"81",1986-09-01,13.84
"82",1986-10-01,13.97
"83",1986-11-01,14.107
"84",1986-12-01,14.546
"85",1987-01-01,15.698
"86",1987-02-01,18.136
"87",1987-03-01,21.006
"88",1987-04-01,23.707
"89",1987-05-01,30.782
"90",1987-06-01,39.44
"91",1987-07-01,44.934
"92",1987-08-01,47.13
"93",1987-09-01,49.866
"94",1987-10-01,53.407
"95",1987-11-01,59.289
"96",1987-12-01,67.481
"97",1988-01-01,77.655
"98",1988-02-01,90.841
"99",1988-03-01,107.138
"100",1988-04-01,125.686
"101",1988-05-01,150.638
"102",1988-06-01,178.303
"103",1988-07-01,215.826
"104",1988-08-01,267.406
"105",1988-09-01,326.235
"106",1988-10-01,411.697
"107",1988-11-01,526.153
"108",1988-12-01,671.032
"109",1989-01-01,0.903
"110",1989-02-01,1
"111",1989-03-01,1
"112",1989-04-01,1.015
"113",1989-05-01,1.099
"114",1989-06-01,1.337
"115",1989-07-01,1.914
"116",1989-08-01,2.475
"117",1989-09-01,3.267
"118",1989-10-01,4.49
"119",1989-11-01,6.248
"120",1989-12-01,9.259
"121",1990-01-01,14.313
"122",1990-02-01,23.661
"123",1990-03-01,37.701
"124",1990-04-01,47.89
"125",1990-05-01,52.23
"126",1990-06-01,57.116
"127",1990-07-01,66.517
"128",1990-08-01,71.757
"129",1990-09-01,75.541
"130",1990-10-01,95.165
"131",1990-11-01,123.133
"132",1990-12-01,154.586
"133",1991-01-01,193.189
"134",1991-02-01,221.756
"135",1991-03-01,230.085
"136",1991-04-01,252.175
"137",1991-05-01,272.977
"138",1991-06-01,297.871
"139",1991-07-01,328.922
"140",1991-08-01,371.282
"141",1991-09-01,428.951
"142",1991-10-01,583.852
"143",1991-11-01,740.367
"144",1991-12-01,957.874
"145",1992-01-01,1197.377
"146",1992-02-01,1478.655
"147",1992-03-01,1814.518
"148",1992-04-01,2196.784
"149",1992-05-01,2628.642
"150",1992-06-01,3149.767
"151",1992-07-01,3829.196
"152",1992-08-01,4672.143
"153",1992-09-01,5771.524
"154",1992-10-01,7214.9
"155",1992-11-01,9046.797
"156",1992-12-01,11150.875
"157",1993-01-01,14059.142
"158",1993-02-01,17868.592
"159",1993-03-01,22469.246
"160",1993-04-01,28728.942
"161",1993-05-01,37040.31
"162",1993-06-01,48106.46
"163",1993-07-01,62773.236
"164",1993-08-01,82.74
"165",1993-09-01,111.189
"166",1993-10-01,151.225
"167",1993-11-01,205.801
"168",1993-12-01,279.385
"169",1994-01-01,390.8445
"170",1994-02-01,550.8067
"171",1994-03-01,768.1203
"172",1994-04-01,1109.5644
"173",1994-05-01,1585.475
"174",1994-06-01,2296.2562
"175",1994-07-01,0.9333
"176",1994-08-01,0.8986
"177",1994-09-01,0.8652
"178",1994-10-01,0.846
"179",1994-11-01,0.8418
"180",1994-12-01,0.8501
"181",1995-01-01,0.8471
"182",1995-02-01,0.8408
"183",1995-03-01,0.8894
"184",1995-04-01,0.9075
"185",1995-05-01,0.8974
"186",1995-06-01,0.914
"187",1995-07-01,0.9288
"188",1995-08-01,0.942
"189",1995-09-01,0.9528
"190",1995-10-01,0.9597
"191",1995-11-01,0.9634
"192",1995-12-01,0.9683
"193",1996-01-01,0.9745
"194",1996-02-01,0.9811
